Unident-poaceae	7459381		Unident-Poaceae		GENUS	DOUBTFUL
Oryza,	2703455		Oryza		GENUS	ACCEPTED
Brassica?	3042506		Brassica		GENUS	ACCEPTED
Portenschlagie*	3232503		Portenschlagiella		GENUS	SYNONYM
Phaseolus.vulgaris	2947798		Phaseolus		GENUS	ACCEPTED
Unident-arecaceae	8084950		Unident-Arecaceae		GENUS	DOUBTFUL
Unident-apiaceae	7415947		Unident-Apiaceae		GENUS	DOUBTFUL
Stachys(betonica)	2927228		Stachys		GENUS	ACCEPTED
TrichosanthesL.	2874604		Trichosanthes		GENUS	ACCEPTED
Hordeum.	2706050		Hordeum		GENUS	ACCEPTED
Lactuca?	3140231		Lactuca		GENUS	ACCEPTED
Crataegomespilus+dardarii	3026356		Crataegomespilus		GENUS	ACCEPTED
Unident-fabaceae	7786692		Unident-Fabaceae		GENUS	DOUBTFUL
LactucaL.	3140231		Lactuca		GENUS	ACCEPTED
Hordeum.vulgare	2706050		Hordeum		GENUS	ACCEPTED
Daucus?	3034740		Daucus		GENUS	ACCEPTED
Scrophularia 	3170861		Scrophularia		GENUS	ACCEPTED
Hippopha?	3039284		Hippophae		GENUS	ACCEPTED
Senecio.	9802230		Senecio		GENUS	ACCEPTED
Triticose?ale	2703325		Triticosecale		GENUS	ACCEPTED
Unident-cucurbitaceae	7684228		Unident-Cucurbitaceae		GENUS	DOUBTFUL
Unident-malvaceae	8352588		Unident-Malvaceae		GENUS	DOUBTFUL
Eremopyrum 	2704657		Eremopyrum		GENUS	ACCEPTED
Unident-lamiaceae	8043383		Unident-Lamiaceae		GENUS	DOUBTFUL
Rhamnus 	3039471		Rhamnus		GENUS	ACCEPTED
Gossypium.HirsutumG107XG.Longicaly	3152652		Gossypium		GENUS	ACCEPTED
Unident-asteraceae	7521723		Unident-Asteraceae		GENUS	DOUBTFUL
Pechuel-loeschea	3091991		Pechuel-loeschea		GENUS	ACCEPTED
Sinapis?	3047584		Sinapis		GENUS	ACCEPTED
