"c_area_harvested","c_production","clp_import_quantity","clp_import_value","clp_export_quantity","clp_export_value","fs_food_supply_quantity_g","fs_food_supply_kcal","fs_protein_supply_quantity","fs_fat_supply_quantity","vap_gross_production_value_us","cu_amount_countries","ge_amount_species"
1,0.284554885375897,0.106183288927212,0.0932963640311067,0.277694675095249,0.253617651926765,0.075965223547321,0.21192381562697,0.180362939126769,0.0770230725453771,0.646357254004939,0.0324374843028983,-0.00132351586142703
0.284554885375897,1,0.0626583805301733,0.0502275215382407,0.217845931654724,0.182145132227,0.17472345354072,0.0828611753884911,0.132164775293069,0.0531433932790911,0.68824330629206,0.0195935068325753,-0.00100374799145259
0.106183288927212,0.0626583805301733,1,0.803851826774037,0.0942864867825521,0.0939761500917349,0.0275296459809829,0.145220551978611,0.145165461842123,0.0932577099691116,0.10891423158337,0.0308491567176522,-0.00105365040569761
0.0932963640311067,0.0502275215382407,0.803851826774037,1,0.0790803182878648,0.156305912468687,0.00846638211899822,0.0843857752775881,0.0763180204054586,0.0872149206175179,0.125991642921016,0.0380175266176055,-0.0014276042216942
0.277694675095249,0.217845931654724,0.0942864867825521,0.0790803182878648,1,0.791613620457787,0.0322618634169704,0.141459317198142,0.122095253388179,0.154368172217031,0.233792168176793,0.0230524969660346,-0.000717390098794838
0.253617651926765,0.182145132227,0.0939761500917349,0.156305912468687,0.791613620457787,1,0.020624196768275,0.105079021056791,0.0739499503390059,0.1720555950015,0.250550274455854,0.0318638495579282,-0.00108813646568625
0.075965223547321,0.17472345354072,0.0275296459809829,0.00846638211899822,0.0322618634169704,0.020624196768275,1,0.519714428337695,0.641108909032163,0.154710724019865,0.181843152824782,0.19849260970011,-0.00868560606014335
0.21192381562697,0.0828611753884911,0.145220551978611,0.0843857752775881,0.141459317198142,0.105079021056791,0.519714428337695,1,0.870428775771868,0.384908997748821,0.162143207891869,0.122535725576901,-0.00618256557240844
0.180362939126769,0.132164775293069,0.145165461842123,0.0763180204054586,0.122095253388179,0.0739499503390059,0.641108909032163,0.870428775771868,1,0.23816191236491,0.181251513364675,0.142192146642005,-0.00617740659221074
0.0770230725453771,0.0531433932790911,0.0932577099691116,0.0872149206175179,0.154368172217031,0.1720555950015,0.154710724019865,0.384908997748821,0.23816191236491,1,0.0756028047161033,0.071357196890512,-0.00443949549377056
0.646357254004939,0.68824330629206,0.10891423158337,0.125991642921016,0.233792168176793,0.250550274455854,0.181843152824782,0.162143207891869,0.181251513364675,0.0756028047161033,1,0.0404483725481595,-0.00137939003082557
0.0324374843028983,0.0195935068325753,0.0308491567176522,0.0380175266176055,0.0230524969660346,0.0318638495579282,0.19849260970011,0.122535725576901,0.142192146642005,0.071357196890512,0.0404483725481595,1,-0.0298100540960096
-0.00132351586142703,-0.00100374799145259,-0.00105365040569761,-0.0014276042216942,-0.000717390098794838,-0.00108813646568625,-0.00868560606014335,-0.00618256557240844,-0.00617740659221074,-0.00443949549377056,-0.00137939003082557,-0.0298100540960096,1
